yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,h2b,h3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
2002,AL,NYA,NYY,E,1,161,80,103,58,Y,N,N,N,897,5601,1540,314,12,223,640,1171,100,38,72,41,697,625,3.87,9,11,53,4356,1441,144,403,1135,127,117,0.979,New York Yankees,Yankee Stadium II,3465807,100,99,NYY,NYA,NYA
2002,AL,OAK,OAK,W,1,162,81,103,59,Y,N,N,N,800,5558,1450,279,28,205,609,1008,46,20,68,36,654,593,3.68,9,19,48,4356,1391,135,474,1021,102,144,0.984,Oakland Athletics,Oakland Coliseum,2169811,98,97,OAK,OAK,OAK
2002,NL,ATL,ATL,E,1,161,81,101,59,Y,N,N,N,708,5495,1428,280,25,164,558,1028,76,39,54,49,565,511,3.13,3,15,57,4402,1302,123,554,1058,114,170,0.982,Atlanta Braves,Turner Field,2603484,102,101,ATL,ATL,ATL
2002,AL,ANA,ANA,W,2,162,81,99,63,N,Y,Y,Y,851,5678,1603,333,32,152,462,805,117,51,74,64,644,595,3.69,7,14,54,4357,1345,169,509,999,87,151,0.986,Anaheim Angels,Edison International Field,2305547,100,99,ANA,ANA,ANA
2002,NL,ARI,ARI,W,1,162,81,98,64,Y,N,N,N,819,5508,1471,283,41,165,643,1016,92,46,50,53,674,630,3.92,14,10,40,4340,1361,170,421,1303,89,116,0.985,Arizona Diamondbacks,Bank One Ballpark,3198977,111,111,ARI,ARI,ARI
2002,NL,SLN,STL,C,1,162,81,97,65,Y,N,N,N,787,5505,1475,285,26,175,542,927,86,42,67,49,648,595,3.7,4,9,42,4339,1355,141,547,1009,103,168,0.983,St. Louis Cardinals,Busch Stadium II,3011756,98,97,STL,SLN,SLN
2002,NL,SFN,SFG,W,2,162,81,95,66,N,Y,Y,N,783,5497,1465,300,35,198,616,961,74,21,65,52,616,566,3.54,10,13,43,4312,1349,116,523,992,90,166,0.985,San Francisco Giants,PacBell Park,3253203,95,94,SFG,SFN,SFN
2002,AL,MIN,MIN,C,1,161,81,94,67,Y,N,N,N,768,5582,1518,348,36,167,472,1089,79,62,56,52,712,662,4.12,8,9,47,4334,1454,184,439,1026,74,124,0.987,Minnesota Twins,Hubert H Humphrey Metrodome,1924473,100,100,MIN,MIN,MIN
2002,AL,SEA,SEA,W,3,162,81,93,69,N,N,N,N,814,5569,1531,285,31,152,629,1003,137,58,51,72,699,654,4.07,8,12,43,4336,1422,178,441,1063,88,134,0.985,Seattle Mariners,Safeco Field,3542938,97,95,SEA,SEA,SEA
2002,AL,BOS,BOS,E,2,162,81,93,69,N,N,N,N,859,5640,1560,348,33,177,545,944,80,28,72,53,665,603,3.75,5,17,51,4338,1339,146,430,1157,104,140,0.983,Boston Red Sox,Fenway Park II,2650862,103,102,BOS,BOS,BOS
2002,NL,LAN,LAD,W,3,162,81,92,70,N,N,N,N,713,5554,1464,286,29,155,428,940,96,37,53,44,643,598,3.69,4,15,56,4373,1311,165,555,1132,90,134,0.985,Los Angeles Dodgers,Dodger Stadium,3131255,92,92,LAD,LAN,LAN
2002,NL,HOU,HOU,C,2,162,81,84,78,N,N,N,N,749,5503,1441,291,32,167,589,1120,71,27,59,37,695,642,4,2,11,43,4335,1423,151,546,1219,83,149,0.986,Houston Astros,Minute Maid Park,2517357,106,105,HOU,HOU,HOU
