"yearid","lgid","teamid","franchid","divid","rank","g","ghome","w","l","divwin","wcwin","lgwin","wswin","r","ab","h","h2b","h3b","hr","bb","so","sb","cs","hbp","sf","ra","er","era","cg","sho","sv","ipouts","ha","hra","bba","soa","e","dp","fp","name","park","attendance","bpf","ppf","teamidbr","teamidlahman45","teamidretro"
1996,"AL","OAK","OAK","W",3,162,81,78,84,"N","N","N","N",861,5630,1492,283,21,243,640,1114,58,35,NULL,NULL,900,841,5.2,7,5,34,4368,1638,205,644,884,102,195,0.984,"Oakland Athletics","Oakland Coliseum",1148380,101,102,"OAK","OAK","OAK"
1997,"AL","OAK","OAK","W",4,162,81,65,97,"N","N","N","N",764,5589,1451,274,23,197,642,1181,71,36,NULL,NULL,946,881,5.49,2,1,38,4335,1734,197,642,953,121,170,0.98,"Oakland Athletics","Oakland Coliseum",1264218,96,97,"OAK","OAK","OAK"
1998,"AL","OAK","OAK","W",4,162,81,74,88,"N","N","N","N",804,5490,1413,295,13,149,633,1122,131,47,NULL,NULL,866,770,4.83,12,4,39,4302,1555,179,529,922,141,155,0.977,"Oakland Athletics","Oakland Coliseum",1232343,96,97,"OAK","OAK","OAK"
1999,"AL","OAK","OAK","W",2,162,81,87,75,"N","N","N","N",893,5519,1430,287,20,235,770,1129,70,37,NULL,NULL,846,749,4.69,6,5,48,4314,1537,160,569,967,122,162,0.98,"Oakland Athletics","Oakland Coliseum",1434610,94,94,"OAK","OAK","OAK"
2000,"AL","OAK","OAK","W",1,161,81,91,70,"Y","N","N","N",947,5560,1501,281,23,239,750,1159,40,15,52,44,813,730,4.58,7,11,43,4306,1535,158,615,963,134,164,0.978,"Oakland Athletics","Oakland Coliseum",1603744,96,95,"OAK","OAK","OAK"
2001,"AL","OAK","OAK","W",2,162,81,102,60,"N","Y","N","N",884,5573,1469,334,22,199,640,1021,68,29,88,59,645,583,3.59,13,9,44,4390,1384,153,440,1117,125,151,0.98,"Oakland Athletics","Oakland Coliseum",2133277,99,97,"OAK","OAK","OAK"
2002,"AL","OAK","OAK","W",1,162,81,103,59,"Y","N","N","N",800,5558,1450,279,28,205,609,1008,46,20,68,36,654,593,3.68,9,19,48,4356,1391,135,474,1021,102,144,0.984,"Oakland Athletics","Oakland Coliseum",2169811,98,97,"OAK","OAK","OAK"
2003,"AL","OAK","OAK","W",1,162,81,96,66,"Y","N","N","N",768,5497,1398,317,24,176,556,898,48,14,59,53,643,582,3.63,16,14,48,4325,1336,140,499,1018,107,145,0.983,"Oakland Athletics","Oakland Coliseum",2216596,99,98,"OAK","OAK","OAK"
2004,"AL","OAK","OAK","W",2,162,81,91,71,"N","N","N","N",793,5728,1545,336,15,189,608,1061,47,22,55,43,742,682,4.17,10,8,35,4414,1466,164,544,1034,91,172,0.986,"Oakland Athletics","Network Associates Coliseum",2201516,99,98,"OAK","OAK","OAK"
2005,"AL","OAK","OAK","W",2,162,81,88,74,"N","N","N","N",772,5627,1476,310,20,155,537,819,31,22,52,40,658,594,3.69,9,12,38,4351,1315,154,504,1075,88,166,0.986,"Oakland Athletics","McAfee Coliseum",2109118,101,100,"OAK","OAK","OAK"
