yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,h2b,h3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1991,AL,OAK,OAK,W,4,162,81,84,78,N,NULL,N,0,760,5410,1342,246,19,159,642,981,151,64,NULL,NULL,776,733,4.57,14,10,49,4332,1425,155,655,892,107,150,0.982,Oakland Athletics,Oakland Coliseum,2713493,94,93,OAK,OAK,OAK
1992,AL,OAK,OAK,W,1,162,81,96,66,Y,NULL,N,0,745,5387,1389,219,24,142,707,831,143,59,NULL,NULL,672,600,3.73,8,9,58,4341,1396,129,601,843,125,158,0.979,Oakland Athletics,Oakland Coliseum,2494160,94,95,OAK,OAK,OAK
1993,AL,OAK,OAK,W,7,162,81,68,94,N,NULL,N,0,715,5543,1408,260,21,158,622,1048,131,59,NULL,NULL,846,791,4.9,8,2,42,4356,1551,157,680,864,111,161,0.982,Oakland Athletics,Oakland Coliseum,2035025,94,94,OAK,OAK,OAK
1994,AL,OAK,OAK,W,2,114,56,51,63,NULL,NULL,NULL,0,549,3885,1009,178,13,113,417,686,91,39,NULL,NULL,589,537,4.82,12,3,23,3009,979,128,510,732,88,105,0.979,Oakland Athletics,Oakland Coliseum,1242692,91,92,OAK,OAK,OAK
1995,AL,OAK,OAK,W,4,144,72,67,77,N,N,N,0,730,4916,1296,228,18,169,565,911,112,46,NULL,NULL,761,697,4.93,8,4,34,3819,1320,153,556,890,101,151,0.981,Oakland Athletics,Oakland Coliseum,1174310,91,91,OAK,OAK,OAK
1996,AL,OAK,OAK,W,3,162,81,78,84,N,N,N,0,861,5630,1492,283,21,243,640,1114,58,35,NULL,NULL,900,841,5.2,7,5,34,4368,1638,205,644,884,102,195,0.984,Oakland Athletics,Oakland Coliseum,1148380,101,102,OAK,OAK,OAK
1997,AL,OAK,OAK,W,4,162,81,65,97,N,N,N,0,764,5589,1451,274,23,197,642,1181,71,36,NULL,NULL,946,881,5.49,2,1,38,4335,1734,197,642,953,121,170,0.98,Oakland Athletics,Oakland Coliseum,1264218,96,97,OAK,OAK,OAK
1998,AL,OAK,OAK,W,4,162,81,74,88,N,N,N,0,804,5490,1413,295,13,149,633,1122,131,47,NULL,NULL,866,770,4.83,12,4,39,4302,1555,179,529,922,141,155,0.977,Oakland Athletics,Oakland Coliseum,1232343,96,97,OAK,OAK,OAK
1999,AL,OAK,OAK,W,2,162,81,87,75,N,N,N,0,893,5519,1430,287,20,235,770,1129,70,37,NULL,NULL,846,749,4.69,6,5,48,4314,1537,160,569,967,122,162,0.98,Oakland Athletics,Oakland Coliseum,1434610,94,94,OAK,OAK,OAK
2000,AL,OAK,OAK,W,1,161,81,91,70,Y,N,N,0,947,5560,1501,281,23,239,750,1159,40,15,52,44,813,730,4.58,7,11,43,4306,1535,158,615,963,134,164,0.978,Oakland Athletics,Oakland Coliseum,1603744,96,95,OAK,OAK,OAK
2001,AL,OAK,OAK,W,2,162,81,102,60,N,Y,N,0,884,5573,1469,334,22,199,640,1021,68,29,88,59,645,583,3.59,13,9,44,4390,1384,153,440,1117,125,151,0.98,Oakland Athletics,Oakland Coliseum,2133277,99,97,OAK,OAK,OAK
2002,AL,OAK,OAK,W,1,162,81,103,59,Y,N,N,0,800,5558,1450,279,28,205,609,1008,46,20,68,36,654,593,3.68,9,19,48,4356,1391,135,474,1021,102,144,0.984,Oakland Athletics,Oakland Coliseum,2169811,98,97,OAK,OAK,OAK
2003,AL,OAK,OAK,W,1,162,81,96,66,Y,N,N,0,768,5497,1398,317,24,176,556,898,48,14,59,53,643,582,3.63,16,14,48,4325,1336,140,499,1018,107,145,0.983,Oakland Athletics,Oakland Coliseum,2216596,99,98,OAK,OAK,OAK
2004,AL,OAK,OAK,W,2,162,81,91,71,N,N,N,0,793,5728,1545,336,15,189,608,1061,47,22,55,43,742,682,4.17,10,8,35,4414,1466,164,544,1034,91,172,0.986,Oakland Athletics,Network Associates Coliseum,2201516,99,98,OAK,OAK,OAK
2005,AL,OAK,OAK,W,2,162,81,88,74,N,N,N,0,772,5627,1476,310,20,155,537,819,31,22,52,40,658,594,3.69,9,12,38,4351,1315,154,504,1075,88,166,0.986,Oakland Athletics,McAfee Coliseum,2109118,101,100,OAK,OAK,OAK
2006,AL,OAK,OAK,W,1,162,81,93,69,Y,N,N,0,771,5500,1429,266,22,175,650,976,61,20,50,56,727,679,4.21,5,11,54,4355,1525,162,529,1003,84,173,0.986,Oakland Athletics,McAfee Coliseum,1976625,97,97,OAK,OAK,OAK
2007,AL,OAK,OAK,W,3,162,81,76,86,N,N,N,0,741,5577,1430,295,16,171,664,1119,52,20,49,56,758,689,4.28,4,9,36,4344,1468,138,530,1036,90,153,0.985,Oakland Athletics,McAfee Coliseum,1921844,94,94,OAK,OAK,OAK
2008,AL,OAK,OAK,W,3,161,81,75,86,N,N,N,0,646,5451,1318,270,23,125,574,1226,88,21,48,35,690,640,4.01,4,7,33,4305,1364,135,576,1061,98,169,0.984,Oakland Athletics,McAfee Coliseum,1665256,95,95,OAK,OAK,OAK
2009,AL,OAK,OAK,W,4,162,81,75,87,N,N,N,0,759,5584,1464,307,21,135,527,1046,133,48,50,54,761,685,4.26,2,10,38,4342,1486,156,523,1124,105,155,0.983,Oakland Athletics,Oakland-Alameda County Coliseum,1408783,99,99,OAK,OAK,OAK
2010,AL,OAK,OAK,W,2,162,81,81,81,N,N,N,0,663,5448,1396,276,30,109,527,1061,156,38,47,51,626,566,3.56,7,17,38,4295,1315,153,512,1070,99,147,0.984,Oakland Athletics,Oakland-Alameda County Coliseum,1418391,100,100,OAK,OAK,OAK
2011,AL,OAK,OAK,W,3,162,81,74,88,N,N,N,0,645,5452,1330,280,29,114,509,1094,117,43,50,57,679,597,3.71,6,12,39,4343,1380,136,519,1160,124,145,0.979,Oakland Athletics,Oakland-Alameda County Coliseum,1476791,97,98,OAK,OAK,OAK
