Row Labels,Sum of schoolid
1899,389
1900,4
1901,59
1902,95
1903,55
1904,65
1905,53
1906,76
1907,38
1908,82
1909,84
1910,110
1911,88
1912,111
1913,96
1914,106
1915,90
1916,111
1917,57
1918,42
1919,72
1920,94
1921,96
1922,122
1923,117
1924,101
1925,92
1926,81
1927,92
1928,97
1929,99
1930,65
1931,95
1932,88
1933,49
1934,59
1935,56
1936,92
1937,69
1938,81
1939,77
1940,61
1941,58
1942,42
1943,98
1944,56
1945,44
1946,54
1947,41
1948,39
1949,50
1950,38
1951,34
1952,58
1953,60
1954,72
1955,55
1956,26
1957,61
1958,53
1959,59
1960,51
1961,89
1962,98
1963,79
1964,82
1965,81
1966,76
1967,89
1968,112
1969,130
1970,158
1971,112
1972,137
1973,157
1974,149
1975,172
1976,129
1977,185
1978,217
1979,196
1980,221
1981,256
1982,246
1983,286
1984,216
1985,218
1986,312
1987,283
1988,271
1989,292
1990,309
1991,369
1992,274
1993,365
1994,211
1995,419
1996,288
1997,249
1998,321
1999,315
2000,316
2001,287
2002,311
2003,312
2004,322
2005,321
2006,329
2007,354
2008,399
2009,279
2010,262
2011,328
2012,260
2013,284
2014,29
2015,0
2016,0
2017,0
N/A,73
Grand Total,17350
